Cutomer Count ID,Date,Day,Department Code,Time Range,Customer Count
1,2018-01-01,Monday,BORELLA_WIDTH_01,Morning,56
2,2018-01-01,Monday,BORELLA_WIDTH_01,Evening,45
3,2018-01-02,Tuesday,BORELLA_WIDTH_01,Morning,59
4,2018-01-02,Tuesday,BORELLA_WIDTH_01,Evening,48
5,2018-01-03,Wednesday,BORELLA_WIDTH_01,Morning,65
6,2018-01-03,Wednesday,BORELLA_WIDTH_01,Evening,58
7,2018-01-04,Thursday,BORELLA_WIDTH_01,Morning,69
8,2018-01-04,Thursday,BORELLA_WIDTH_01,Evening,60
9,2018-01-05,Friday,BORELLA_WIDTH_01,Morning,75
10,2018-01-05,Friday,BORELLA_WIDTH_01,Evening,65
11,2018-01-06,Saturday,BORELLA_WIDTH_01,Morning,80
12,2018-01-06,Saturday,BORELLA_WIDTH_01,Evening,69
