Cutomer Count ID,Date,Day,Department Code,Time Range,Customer Count
1,2018-01-01,Monday,BORELLA_WIDTH_01,Morning,56
2,2018-01-01,Monday,BORELLA_WIDTH_01,Evening,45
3,2018-01-02,Tuesday,BORELLA_WIDTH_01,Morning,59
4,2018-01-02,Tuesday,BORELLA_WIDTH_01,Evening,48
5,2018-01-03,Wednesday,BORELLA_WIDTH_01,Morning,65
6,2018-01-03,Wednesday,BORELLA_WIDTH_01,Evening,58
7,2018-01-04,Thursday,BORELLA_WIDTH_01,Morning,69
8,2018-01-04,Thursday,BORELLA_WIDTH_01,Evening,60
9,2018-01-05,Friday,BORELLA_WIDTH_01,Morning,75
10,2018-01-05,Friday,BORELLA_WIDTH_01,Evening,65
11,2018-01-06,Saturday,BORELLA_WIDTH_01,Morning,80
12,2018-01-06,Saturday,BORELLA_WIDTH_01,Evening,69
13,2018-01-08,Monday,BORELLA_WIDTH_01,Morning,58
14,2018-01-08,Monday,BORELLA_WIDTH_01,Evening,42
15,2018-01-09,Tuesday,BORELLA_WIDTH_01,Morning,69
16,2018-01-09,Tuesday,BORELLA_WIDTH_01,Evening,56
17,2018-01-10,Wednesday,BORELLA_WIDTH_01,Morning,62
18,2018-01-10,Wednesday,BORELLA_WIDTH_01,Evening,45
19,2018-01-11,Thursday,BORELLA_WIDTH_01,Morning,59
20,2018-01-11,Thursday,BORELLA_WIDTH_01,Evening,48
21,2018-01-12,Friday,BORELLA_WIDTH_01,Morning,75
22,2018-01-12,Friday,BORELLA_WIDTH_01,Evening,41
23,2018-01-13,Saturday,BORELLA_WIDTH_01,Morning,78
24,2018-01-13,Saturday,BORELLA_WIDTH_01,Evening,63
25,2018-01-15,Monday,BORELLA_WIDTH_01,Morning,81
26,2018-01-15,Monday,BORELLA_WIDTH_01,Evening,45
27,2018-01-16,Tuesday,BORELLA_WIDTH_01,Morning,78
28,2018-01-16,Tuesday,BORELLA_WIDTH_01,Evening,65
29,2018-01-17,Wednesday,BORELLA_WIDTH_01,Morning,74
30,2018-01-17,Wednesday,BORELLA_WIDTH_01,Evening,58
31,2018-01-18,Thursday,BORELLA_WIDTH_01,Morning,62
32,2018-01-18,Thursday,BORELLA_WIDTH_01,Evening,51
33,2018-01-19,Friday,BORELLA_WIDTH_01,Morning,50
34,2018-01-19,Friday,BORELLA_WIDTH_01,Evening,42
35,2018-01-20,Saturday,BORELLA_WIDTH_01,Morning,80
36,2018-01-20,Saturday,BORELLA_WIDTH_01,Evening,57
37,2018-01-22,Monday,BORELLA_WIDTH_01,Morning,78
38,2018-01-22,Monday,BORELLA_WIDTH_01,Evening,74
39,2018-01-23,Tuesday,BORELLA_WIDTH_01,Morning,79
40,2018-01-23,Tuesday,BORELLA_WIDTH_01,Evening,84
41,2018-01-24,Wednesday,BORELLA_WIDTH_01,Morning,89
42,2018-01-24,Wednesday,BORELLA_WIDTH_01,Evening,61
43,2018-01-25,Thursday,BORELLA_WIDTH_01,Morning,56
44,2018-01-25,Thursday,BORELLA_WIDTH_01,Evening,65
45,2018-01-27,Saturday,BORELLA_WIDTH_01,Morning,68
46,2018-01-27,Saturday,BORELLA_WIDTH_01,Evening,70
47,2018-01-29,Monday,BORELLA_WIDTH_01,Morning,78
48,2018-01-29,Monday,BORELLA_WIDTH_01,Evening,56
49,2018-01-30,Tuesday,BORELLA_WIDTH_01,Morning,84
50,2018-01-30,Tuesday,BORELLA_WIDTH_01,Evening,75
51,2018-01-31,Wednesday,BORELLA_WIDTH_01,Morning,81
52,2018-01-31,Wednesday,BORELLA_WIDTH_01,Evening,59
53,2018-02-01,Thursday,BORELLA_WIDTH_01,Morning,89
54,2018-02-01,Thursday,BORELLA_WIDTH_01,Evening,74
55,2018-02-02,Friday,BORELLA_WIDTH_01,Morning,58
56,2018-02-02,Friday,BORELLA_WIDTH_01,Evening,74
57,2018-02-03,Saturday,BORELLA_WIDTH_01,Morning,76
